MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT001127,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TLR2,1,1,1,0,0,0,0,0,1,4,1,Tier B: High
MIRT055113,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SCD,0,0,0,0,1,0,1,0,0,6,4,Tier C: Middle
MIRT066326,Homo sapiens,Homo sapiens,hsa-miR-105-5p,USP15,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT076473,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PAFAH1B1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT084572,Homo sapiens,Homo sapiens,hsa-miR-105-5p,BCL2L11,0,0,0,0,1,0,1,0,0,6,4,Tier C: Middle
MIRT095377,Homo sapiens,Homo sapiens,hsa-miR-105-5p,UBE2D2,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT104487,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PEG10,0,0,0,0,1,0,1,0,0,6,2,Tier C: Middle
MIRT177025,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CACUL1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT308398,Homo sapiens,Homo sapiens,hsa-miR-105-5p,FOXP1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT310424,Homo sapiens,Homo sapiens,hsa-miR-105-5p,REST,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT315669,Homo sapiens,Homo sapiens,hsa-miR-105-5p,NUS1,0,0,0,0,1,0,1,0,0,3,4,Tier C: Middle
MIRT342111,Homo sapiens,Homo sapiens,hsa-miR-105-5p,BTF3L4,0,0,0,0,1,0,1,0,0,3,4,Tier C: Middle
MIRT437910,Homo sapiens,Homo sapiens,hsa-miR-105-5p,IRS1,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT437911,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PDK1,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT437912,Homo sapiens,Homo sapiens,hsa-miR-105-5p,AKT1,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT438084,Homo sapiens,Homo sapiens,hsa-miR-105-5p,MYB,1,1,1,0,0,0,0,0,0,3,1,Tier B: High
MIRT438854,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CDK6,0,1,1,0,1,0,1,1,1,9,8,Tier A: Strong
MIRT438931,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TJP1,1,1,1,1,0,0,0,0,0,4,1,Tier B: High
MIRT441350,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TOM1L2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT441707,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ZIC4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT443205,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ECHDC3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT451550,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CIAPIN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT455745,Homo sapiens,Homo sapiens,hsa-miR-105-5p,YRDC,0,0,0,0,1,0,1,0,0,3,12,Tier C: Middle
MIRT470103,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PTEN,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT471428,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PDIA6,0,0,0,0,1,0,1,0,0,6,2,Tier C: Middle
MIRT472359,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TSPAN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT478076,Homo sapiens,Homo sapiens,hsa-miR-105-5p,DNAJB4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT481520,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ARL5C,0,0,0,0,1,0,1,0,0,2,12,Tier C: Middle
MIRT481894,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ANKRD46,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT484782,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ESF1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT491515,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CREBL2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT496199,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TECPR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT498231,Homo sapiens,Homo sapiens,hsa-miR-105-5p,HNRNPA3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT502282,Homo sapiens,Homo sapiens,hsa-miR-105-5p,GRB2,0,0,0,0,1,0,1,1,1,4,5,Tier B: High
MIRT505893,Homo sapiens,Homo sapiens,hsa-miR-105-5p,RNF11,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT508241,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ZNF121,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT509204,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TTF2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT509357,Homo sapiens,Homo sapiens,hsa-miR-105-5p,COPS8,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT513650,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TOR1B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT516700,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ODF2L,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT524836,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ARPP19,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT525044,Homo sapiens,Homo sapiens,hsa-miR-105-5p,FRK,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT525597,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ANKRD49,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT526500,Homo sapiens,Homo sapiens,hsa-miR-105-5p,POU5F1B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT526811,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TANGO2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT527073,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ABCC4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT528911,Homo sapiens,Homo sapiens,hsa-miR-105-5p,THBS2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT532463,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PLGRKT,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT534508,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SAR1B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT534924,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PTPN14,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT535005,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PRPF40A,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT538904,Homo sapiens,Homo sapiens,hsa-miR-105-5p,BRI3BP,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT545106,Homo sapiens,Homo sapiens,hsa-miR-105-5p,RAG1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT550648,Homo sapiens,Homo sapiens,hsa-miR-105-5p,EPB41L4B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT551475,Homo sapiens,Homo sapiens,hsa-miR-105-5p,FAM195A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT552644,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ZBTB10,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT555344,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PPP1R3B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT560298,Homo sapiens,Homo sapiens,hsa-miR-105-5p,DFFA,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT564129,Homo sapiens,Homo sapiens,hsa-miR-105-5p,FZD1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT564237,Homo sapiens,Homo sapiens,hsa-miR-105-5p,L2HGDH,0,0,0,0,1,0,1,0,0,5,2,Tier C: Middle
MIRT565135,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TUBB2A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT571852,Homo sapiens,Homo sapiens,hsa-miR-105-5p,NRBF2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT573126,Homo sapiens,Homo sapiens,hsa-miR-105-5p,C18orf25,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT614638,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SPINT3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT614911,Homo sapiens,Homo sapiens,hsa-miR-105-5p,NPTX1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT615823,Homo sapiens,Homo sapiens,hsa-miR-105-5p,KIAA1549L,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT622190,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SLC6A6,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT622534,Homo sapiens,Homo sapiens,hsa-miR-105-5p,RAB9B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT622674,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PLXNC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT622844,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PDGFRA,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT624331,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CLIC5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT628302,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CREB5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT631255,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ABCB5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT632030,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PRKX,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT632294,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TTPAL,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT632399,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SLC4A1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT640113,Homo sapiens,Homo sapiens,hsa-miR-105-5p,DUOX2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT647043,Homo sapiens,Homo sapiens,hsa-miR-105-5p,KLHL25,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT651224,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ZNF225,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT651670,Homo sapiens,Homo sapiens,hsa-miR-105-5p,VPS52,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT656811,Homo sapiens,Homo sapiens,hsa-miR-105-5p,KLHL28,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT660975,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ABI2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT671818,Homo sapiens,Homo sapiens,hsa-miR-105-5p,WISP3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT675652,Homo sapiens,Homo sapiens,hsa-miR-105-5p,CRISPLD2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT695299,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TK1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT696086,Homo sapiens,Homo sapiens,hsa-miR-105-5p,MAST3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT697051,Homo sapiens,Homo sapiens,hsa-miR-105-5p,BCAR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT699391,Homo sapiens,Homo sapiens,hsa-miR-105-5p,SLC30A5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT707676,Homo sapiens,Homo sapiens,hsa-miR-105-5p,EXOC2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT709967,Homo sapiens,Homo sapiens,hsa-miR-105-5p,TRUB2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT719954,Homo sapiens,Homo sapiens,hsa-miR-105-5p,BLOC1S6,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT721065,Homo sapiens,Homo sapiens,hsa-miR-105-5p,DCC,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT734501,Homo sapiens,Homo sapiens,hsa-miR-105-5p,ADAMTS5,1,1,1,0,0,0,0,0,0,3,0,Tier B: High
MIRT735265,Homo sapiens,Homo sapiens,hsa-miR-105-5p,PDE4D,1,1,1,0,0,0,0,0,0,3,0,Tier B: High
MIRT755847,Homo sapiens,Homo sapiens,hsa-miR-105-5p,IL1B,0,0,0,0,0,0,0,0,0,1,1,Tier D: Low
